Exch	ExchType	Name	Expiry	ScripType	StrikeRate	LotSize	QtyLimit	ScripCode
N	D	NIFTY 26 JUN 2025 PE 20100.00	6/26/2025	PE	20100	75	1800	62032
N	D	NIFTY 26 JUN 2025 CE 20150.00	6/26/2025	CE	20150	75	1800	62033
N	D	NIFTY 26 JUN 2025 PE 20150.00	6/26/2025	PE	20150	75	1800	62036
N	D	NIFTY 26 JUN 2025 CE 20200.00	6/26/2025	CE	20200	75	1800	62037
N	D	NIFTY 26 JUN 2025 PE 20200.00	6/26/2025	PE	20200	75	1800	62048
N	D	NIFTY 26 JUN 2025 CE 20250.00	6/26/2025	CE	20250	75	1800	62049
N	D	NIFTY 26 JUN 2025 PE 20250.00	6/26/2025	PE	20250	75	1800	62054
N	D	NIFTY 26 JUN 2025 CE 20300.00	6/26/2025	CE	20300	75	1800	62055
N	D	NIFTY 26 JUN 2025 PE 20300.00	6/26/2025	PE	20300	75	1800	62058
N	D	NIFTY 26 JUN 2025 CE 20350.00	6/26/2025	CE	20350	75	1800	62059
N	D	NIFTY 26 JUN 2025 PE 20350.00	6/26/2025	PE	20350	75	1800	62060
N	D	NIFTY 26 JUN 2025 CE 20400.00	6/26/2025	CE	20400	75	1800	62061
N	D	NIFTY 26 JUN 2025 PE 20400.00	6/26/2025	PE	20400	75	1800	62062
N	D	NIFTY 26 JUN 2025 CE 20450.00	6/26/2025	CE	20450	75	1800	62063
N	D	NIFTY 26 JUN 2025 PE 20450.00	6/26/2025	PE	20450	75	1800	62064
N	D	NIFTY 26 JUN 2025 CE 20500.00	6/26/2025	CE	20500	75	1800	62065
N	D	NIFTY 26 JUN 2025 PE 20500.00	6/26/2025	PE	20500	75	1800	62066
N	D	NIFTY 26 JUN 2025 CE 20550.00	6/26/2025	CE	20550	75	1800	62067
N	D	NIFTY 26 JUN 2025 PE 20550.00	6/26/2025	PE	20550	75	1800	62070
N	D	NIFTY 26 JUN 2025 CE 20600.00	6/26/2025	CE	20600	75	1800	62071
N	D	NIFTY 26 JUN 2025 PE 20600.00	6/26/2025	PE	20600	75	1800	62072
N	D	NIFTY 26 JUN 2025 CE 20650.00	6/26/2025	CE	20650	75	1800	62073
N	D	NIFTY 26 JUN 2025 PE 20650.00	6/26/2025	PE	20650	75	1800	62074
N	D	NIFTY 26 JUN 2025 CE 20700.00	6/26/2025	CE	20700	75	1800	62075
N	D	NIFTY 26 JUN 2025 PE 20700.00	6/26/2025	PE	20700	75	1800	62076
